TABLE_NAME,TABLE_COMMENT,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,COLUMN_KEY,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,COLUMN_COMMENT
bookmark,,playlist_id,int,int,MUL,NO,NULL,,
bookmark,,user_id,varchar,varchar(45),MUL,NO,NULL,,
Comment,,playlist_id,int,int,MUL,NO,NULL,,
Comment,,user_id,varchar,varchar(45),MUL,NO,NULL,,
Comment,,body,varchar,varchar(255),,NO,NULL,,
Genres,,track_id,varchar,varchar(255),MUL,NO,NULL,,
Genres,,genre,varchar,varchar(45),,NO,NULL,,
playlist,,playlist_id,int,int,PRI,NO,NULL,auto_increment,
playlist,,user_id,varchar,varchar(45),PRI,NO,NULL,,
playlist,,title,varchar,varchar(255),,YES,NULL,,
playlist,,hashtag,varchar,varchar(255),,YES,NULL,,
recommend,,user_id,varchar,varchar(45),PRI,NO,NULL,,
recommend,,playlist_id,int,int,PRI,NO,NULL,,
recommend,,reco_num,int,int,,NO,0,,
song,,track_id,varchar,varchar(255),PRI,NO,NULL,,
song,,track_name,varchar,varchar(255),,NO,NULL,,
song,,artist_id,varchar,varchar(255),,NO,NULL,,
song,,artist_name,varchar,varchar(255),,NO,NULL,,
song,,artist_genres,varchar,varchar(255),,NO,NULL,,
track,,track_id,varchar,varchar(255),MUL,NO,NULL,,
track,,user_id,varchar,varchar(45),MUL,NO,NULL,,
User,,id,varchar,varchar(45),PRI,NO,NULL,,
User,,password,varchar,varchar(45),,NO,NULL,,
User,,name,varchar,varchar(45),,NO,NULL,,
User,,age,int,int,,NO,NULL,,
User,,gender,varchar,varchar(10),,NO,NULL,,
